gameid,playoffs,side,teamname,firstdragon,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,result
LOLTMNT06_164200,0,Blue,Fnatic,0.0,320.0,813.0,0.0,2.0,1.0,1.0,1
LOLTMNT06_164200,0,Red,Los Ratones,1.0,-320.0,-813.0,0.0,1.0,0.0,2.0,0
LOLTMNT06_163223,0,Blue,GiantX,0.0,-296.0,-459.0,20.0,0.0,0.0,2.0,1
LOLTMNT06_163223,0,Red,Shifters,1.0,296.0,459.0,-20.0,2.0,4.0,0.0,0
LOLTMNT06_164218,0,Blue,Team Heretics,0.0,-3535.0,-2761.0,-38.0,1.0,2.0,4.0,0
LOLTMNT06_164218,0,Red,Natus Vincere,1.0,3535.0,2761.0,38.0,4.0,6.0,1.0,1
LOLTMNT06_164234,0,Blue,SK Gaming,0.0,-944.0,143.0,6.0,4.0,6.0,4.0,0
LOLTMNT06_164234,0,Red,Team Vitality,1.0,944.0,-143.0,-6.0,4.0,6.0,4.0,1
LOLTMNT06_163258,0,Blue,Karmine Corp,0.0,727.0,506.0,-11.0,6.0,7.0,6.0,1
LOLTMNT06_163258,0,Red,Karmine Corp Blue,1.0,-727.0,-506.0,11.0,6.0,11.0,6.0,0
LOLTMNT06_163282,0,Blue,G2 Esports,0.0,-891.0,-535.0,-33.0,3.0,6.0,1.0,0
LOLTMNT06_163282,0,Red,Movistar KOI,1.0,891.0,535.0,33.0,1.0,0.0,3.0,1
LOLTMNT06_163306,0,Blue,Team Heretics,0.0,-751.0,-1071.0,-4.0,4.0,9.0,6.0,0
LOLTMNT06_163306,0,Red,Shifters,1.0,751.0,1071.0,4.0,6.0,11.0,4.0,1
LOLTMNT06_163319,0,Blue,Los Ratones,0.0,-2834.0,-4345.0,-44.0,2.0,2.0,7.0,0
LOLTMNT06_163319,0,Red,Karmine Corp Blue,1.0,2834.0,4345.0,44.0,7.0,7.0,2.0,1
LOLTMNT06_164300,0,Blue,Team Vitality,0.0,-707.0,-1104.0,-7.0,2.0,2.0,2.0,0
LOLTMNT06_164300,0,Red,Natus Vincere,1.0,707.0,1104.0,7.0,2.0,3.0,2.0,1
LOLTMNT06_163332,0,Blue,Fnatic,0.0,-4659.0,-4944.0,-69.0,3.0,6.0,7.0,0
LOLTMNT06_163332,0,Red,SK Gaming,1.0,4659.0,4944.0,69.0,7.0,9.0,3.0,1
LOLTMNT06_164317,0,Blue,G2 Esports,0.0,-1287.0,-1067.0,-1.0,3.0,6.0,4.0,0
LOLTMNT06_164317,0,Red,GiantX,1.0,1287.0,1067.0,1.0,4.0,10.0,3.0,1
LOLTMNT06_164335,0,Blue,Karmine Corp,1.0,1017.0,1530.0,20.0,3.0,6.0,2.0,0
LOLTMNT06_164335,0,Red,Movistar KOI,0.0,-1017.0,-1530.0,-20.0,2.0,3.0,3.0,1
LOLTMNT06_163405,0,Blue,Natus Vincere,1.0,933.0,995.0,26.0,1.0,0.0,1.0,0
LOLTMNT06_163405,0,Red,Fnatic,0.0,-933.0,-995.0,-26.0,1.0,1.0,1.0,1
