playoffs,side,teamname,team_wr,champ_top,champ_jng,champ_mid,champ_bot,champ_sup,wr_champ_top,wr_champ_jng,wr_champ_mid,wr_champ_bot,wr_champ_sup,firstdragon,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,wr_top,wr_jng,wr_mid,wr_bot,wr_sup,comp_early_power,result
0,Blue,G2 Esports,0.5,Gragas,Olaf,Twisted Fate,Sivir,Alistar,0.5,0.5,0.5,0.5,0.5,1.0,182.0,3023.0,36.0,3.0,6.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,KOI,0.5,Renekton,Lillia,Tristana,Jhin,Leona,0.5,0.5,0.5,0.5,0.5,0.0,-182.0,-3023.0,-36.0,2.0,2.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Astralis,0.5,Renekton,Nidalee,Orianna,Kai'Sa,Sett,0.5,0.5,0.5,0.5,0.5,1.0,-344.0,63.0,17.0,2.0,4.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,SK Gaming,0.5,Gragas,Hecarim,Viktor,Aphelios,Thresh,0.5,0.5,0.5,0.5,0.5,0.0,344.0,-63.0,-17.0,2.0,6.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Rogue,0.5,Kennen,Lillia,Lucian,Kalista,Sett,0.5,0.5,0.5,0.5,0.5,0.0,4397.0,983.0,44.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Excel Esports,0.5,Ivern,Udyr,Zoe,Aphelios,Thresh,0.5,0.5,0.5,0.5,0.5,1.0,-4397.0,-983.0,-44.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Team Vitality,0.5,Renekton,Nidalee,Jayce,Kai'Sa,Nautilus,0.5,0.5,0.5,0.5,0.5,0.0,1299.0,800.0,5.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,FC Schalke 04 Esports,0.5,Gangplank,Lillia,Syndra,Aphelios,Thresh,0.5,0.5,0.5,0.5,0.5,1.0,-1299.0,-800.0,-5.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Misfits Gaming,0.5,Renekton,Taliyah,Zoe,Xayah,Galio,0.5,0.5,0.5,0.5,0.5,0.0,3906.0,3390.0,29.0,11.0,23.0,8.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Fnatic,0.5,Gragas,Hecarim,Viktor,Kai'Sa,Leona,0.5,0.5,0.5,0.5,0.5,1.0,-3906.0,-3390.0,-29.0,8.0,14.0,11.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,FC Schalke 04 Esports,0.5,Gragas,Olaf,Viktor,Miss Fortune,Seraphine,0.5,0.5,0.5,0.5,0.5,1.0,1237.0,1774.0,20.0,5.0,8.0,5.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,Excel Esports,0.5,Lulu,Graves,Orianna,Kai'Sa,Leona,0.5,0.5,0.5,0.5,0.5,0.0,-1237.0,-1774.0,-20.0,5.0,11.0,5.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Misfits Gaming,0.5,Renekton,Ekko,Viktor,Kai'Sa,Alistar,0.5,0.5,0.5,0.5,0.5,0.0,631.0,-273.0,-14.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,Team Vitality,0.5,Ornn,Taliyah,Lucian,Ashe,Thresh,0.5,0.5,0.5,0.5,0.5,1.0,-631.0,273.0,14.0,1.0,3.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,KOI,0.5,Aatrox,Nidalee,Twisted Fate,Kai'Sa,Nautilus,0.5,0.5,0.5,0.5,0.5,0.0,4120.0,2097.0,32.0,5.0,8.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Astralis,0.5,Kennen,Hecarim,Orianna,Samira,Alistar,0.5,0.5,0.5,0.5,0.5,1.0,-4120.0,-2097.0,-32.0,2.0,1.0,5.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,SK Gaming,0.5,Gragas,Hecarim,Sylas,Miss Fortune,Leona,0.5,0.5,0.5,0.5,0.5,0.0,1335.0,-434.0,-30.0,3.0,3.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,G2 Esports,0.5,Ivern,Graves,Twisted Fate,Jhin,Thresh,0.5,0.5,0.5,0.5,0.5,1.0,-1335.0,434.0,30.0,1.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Fnatic,0.5,Volibear,Graves,Galio,Aphelios,Braum,0.5,0.5,0.5,0.5,0.5,0.0,-2786.0,-1285.0,-9.0,3.0,9.0,5.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,Rogue,0.5,Renekton,Pantheon,Twisted Fate,Kai'Sa,Rakan,0.5,0.5,0.5,0.5,0.5,1.0,2786.0,1285.0,9.0,5.0,13.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Astralis,0.5,Ornn,Hecarim,Twisted Fate,Jhin,Alistar,0.5,0.5,0.5,0.5,0.5,0.0,-2179.0,-1462.0,-56.0,4.0,7.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Team Vitality,0.5,Gragas,Graves,LeBlanc,Aphelios,Thresh,0.5,0.5,0.5,0.5,0.5,1.0,2179.0,1462.0,56.0,4.0,7.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Rogue,0.5,Aatrox,Nidalee,Twisted Fate,Kai'Sa,Rell,0.5,0.5,0.5,0.5,0.5,0.0,3537.0,635.0,38.0,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,SK Gaming,0.5,Gragas,Graves,Sylas,Ezreal,Leona,0.5,0.5,0.5,0.5,0.5,1.0,-3537.0,-635.0,-38.0,3.0,4.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Misfits Gaming,0.5,Camille,Olaf,Zoe,Vayne,Leona,0.5,0.5,0.5,0.5,0.5,1.0,-497.0,465.0,-13.0,6.0,10.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,KOI,0.5,Renekton,Graves,Viktor,Kai'Sa,Galio,0.5,0.5,0.5,0.5,0.5,0.0,497.0,-465.0,13.0,3.0,3.0,6.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Fnatic,0.5,Ornn,Graves,Twisted Fate,Samira,Sett,0.5,0.5,0.5,0.5,0.5,1.0,3284.0,1134.0,9.0,2.0,2.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,FC Schalke 04 Esports,0.5,Jax,Lillia,Lucian,Kai'Sa,Galio,0.5,0.5,0.5,0.5,0.5,0.0,-3284.0,-1134.0,-9.0,0.0,0.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Excel Esports,0.5,Camille,Udyr,Syndra,Kai'Sa,Nautilus,0.5,0.5,0.5,0.5,0.5,1.0,-3016.0,-1623.0,-8.0,4.0,5.0,8.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,G2 Esports,0.5,Irelia,Graves,Akali,Jhin,Braum,0.5,0.5,0.5,0.5,0.5,0.0,3016.0,1623.0,8.0,8.0,14.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,Excel Esports,0.5,Gragas,Graves,Syndra,Kai'Sa,Alistar,0.5,0.5,0.5,0.5,0.5,0.0,-3851.0,-984.0,-57.0,1.0,2.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,KOI,0.5,Aatrox,Ivern,Orianna,Xayah,Leona,0.5,0.5,0.5,0.5,0.5,1.0,3851.0,984.0,57.0,2.0,2.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Blue,FC Schalke 04 Esports,0.5,Camille,Pantheon,Orianna,Kai'Sa,Galio,0.5,0.5,0.5,0.5,0.5,0.0,1304.0,-1203.0,-25.0,3.0,4.0,2.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,SK Gaming,0.5,Volibear,Dr. Mundo,Azir,Kalista,Alistar,0.5,0.5,0.5,0.5,0.5,1.0,-1304.0,1203.0,25.0,2.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,G2 Esports,0.5,Gragas,Olaf,Ekko,Senna,Leona,0.5,0.5,0.5,0.5,0.5,1.0,2128.0,1669.0,25.0,7.0,14.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Astralis,0.5,Gnar,Lillia,Orianna,Samira,Alistar,0.5,0.5,0.5,0.5,0.5,0.0,-2128.0,-1669.0,-25.0,4.0,7.0,7.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Rogue,0.5,Jayce,Olaf,Azir,Ashe,Seraphine,0.5,0.5,0.5,0.5,0.5,1.0,1820.0,1635.0,48.0,3.0,3.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Misfits Gaming,0.5,Malphite,Pantheon,Syndra,Aphelios,Thresh,0.5,0.5,0.5,0.5,0.5,0.0,-1820.0,-1635.0,-48.0,3.0,4.0,3.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Fnatic,0.5,Renekton,Olaf,Orianna,Kai'Sa,Rell,0.5,0.5,0.5,0.5,0.5,1.0,4718.0,2407.0,47.0,4.0,6.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1
0,Red,Team Vitality,0.5,Gnar,Nidalee,LeBlanc,Xayah,Leona,0.5,0.5,0.5,0.5,0.5,0.0,-4718.0,-2407.0,-47.0,0.0,0.0,4.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Blue,Astralis,0.5,Gragas,Udyr,Lucian,Aphelios,Lulu,0.5,0.5,0.5,0.5,0.5,1.0,-682.0,-696.0,-48.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0
0,Red,Excel Esports,0.5,Renekton,Lillia,Orianna,Xayah,Rakan,0.5,0.5,0.5,0.5,0.5,0.0,682.0,696.0,48.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1
